particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
298,3,2,2,5.65685,15,15,1,1,999
299,4,2,2,5.65685,12,15,1,1,999
300,5,2,2,5.65685,20,14,1,1,999
301,6,4,4,7.65685,18,14,1,0,1.41421
302,7,2,2,5.65685,10,14,1,1,999
303,0,184.5,184.5,176.066,5,5,0.432084,1,1.40708
304,1,2,2,5.65685,18,27,1,1,999
305,2,2,2,5.65685,12,27,1,1,999
306,3,2,2,5.65685,13,26,1,1,999
307,4,2,2,5.65685,9,24,1,1,999
308,5,2,2,5.65685,13,22,1,1,999
309,6,2,2,5.65685,6,21,1,1,999
310,7,2,2,5.65685,13,18,1,1,999
311,8,2,2,5.65685,21,14,1,1,999
312,9,2,2,5.65685,22,13,1,1,999
313,10,5.5,5.5,9.07107,12,13,1,1,1
314,11,6,6,9.65685,14,12,1,1,1.73205
315,12,2,2,5.65685,27,11,1,1,999
316,13,2,2,5.65685,11,11,1,1,999
317,0,15.5,15.5,17.0711,5,5,0.939394,2,2.06886
318,0,96.5,96.5,50.8701,5,5,0.835498,1,1.439
319,0,84.5,84.5,80.669,5,5,0.563333,1,3.64566
320,1,2,2,5.65685,9,17,1,1,999
321,2,4,4,7.65685,10,15,1,0,1.41421
322,3,4,4,7.65685,11,14,1,1,1.41421
323,0,60,60,38.9706,5,5,0.779221,1,1.60709
324,0,26,26,30.9706,5,5,0.675325,2,2.08172
325,0,388,388,116.225,5,5,0.838013,1,4.56216
326,1,2,2,5.65685,42,25,1,1,999
327,2,2,2,5.65685,38,22,1,1,999
328,0,22.5,22.5,22.7279,5,5,0.818182,0,1.41181
329,0,411.5,411.5,121.296,5,5,0.747502,0,2.07609
330,1,2,2,5.65685,20,39,1,1,999
331,0,60.5,60.5,35.5563,5,5,0.846154,1,1.81046
332,1,2,2,5.65685,9,6,1,1,999
333,0,38,38,25.3137,5,5,0.904762,0,1.29549
334,0,174.5,174.5,75.3553,5,5,0.779018,1,2.21751
335,0,246,246,108.569,5,5,0.657754,1,1.85941
336,1,2,2,5.65685,9,25,1,1,999
337,2,2,2,5.65685,9,13,1,1,999
338,3,2,2,5.65685,25,8,1,1,999
339,0,15,15,15.6569,5,5,1,1,1.62879
340,0,142,142,61.9411,5,5,0.811429,1,2.15292
341,0,2.5,2.5,7.41421,5,5,1,2,999
342,0,245.5,245.5,79.4975,5,5,0.81157,0,1.3463
343,0,260.5,260.5,132.953,5,5,0.457419,1,1.34743
344,1,2,2,5.65685,7,30,1,1,999
345,2,2,2,5.65685,28,6,1,1,999
346,0,186.5,186.5,57.3553,5,5,0.927861,1,1.61081
347,0,24.5,24.5,22.7279,5,5,0.830508,1,1.95937
348,0,612.5,612.5,239.865,5,5,0.58112,0,3.49713
349,1,2,2,5.65685,38,33,1,1,999
350,2,2,2,5.65685,24,33,1,1,999
351,3,2,2,5.65685,20,17,1,1,999
352,4,2,2,5.65685,18,16,1,1,999
353,5,2,2,5.65685,9,12,1,1,999
354,6,4,4,7.65685,15,10,1,1,1.41421
355,0,87,87,55.9411,5,5,0.710204,1,1.88066
356,1,2,2,5.65685,6,10,1,1,999
357,2,2,2,5.65685,5,9,1,1,999
358,0,68.5,68.5,36.3848,5,5,0.913333,1,1.49802
359,0,59,59,56.6274,5,5,0.631016,2,4.62376
360,0,20.5,20.5,31.5563,5,5,0.621212,0,3.77356
361,1,2,2,5.65685,8,5,1,1,999
362,0,145,145,64.7696,5,5,0.775401,0,1.17157
363,1,2,2,5.65685,6,12,1,1,999
364,0,116,116,61.598,5,5,0.805556,0,3.23727
365,0,170,170,63.9411,5,5,0.792541,0,1.70825
366,1,2,2,5.65685,12,8,1,1,999
367,2,2,2,5.65685,13,7,1,1,999
368,0,47,47,30.9706,5,5,0.854545,1,1.23776
369,1,2,2,5.65685,12,8,1,1,999
370,0,557,557,166.652,5,5,0.675152,1,1.7699
371,1,2,2,5.65685,23,24,1,1,999
372,2,2,2,5.65685,21,24,1,1,999
373,3,2,2,5.65685,28,22,1,1,999
374,4,2,2,5.65685,30,18,1,1,999
375,0,347.5,347.5,161.581,5,5,0.560936,0,1.52984
376,1,4,4,7.65685,7,16,1,1,1.41421
377,2,2,2,5.65685,13,14,1,1,999
378,3,2,2,5.65685,33,13,1,1,999
379,4,2,2,5.65685,14,12,1,1,999
380,0,229.5,229.5,78.5269,5,5,0.796875,1,1.8887
381,0,555.5,555.5,220.35,5,5,0.62067,1,2.73209
382,1,2,2,5.65685,13,27,1,1,999
383,2,4,4,7.65685,17,23,1,0,1.41421
384,3,2,2,5.65685,16,22,1,1,999
385,4,2,2,5.65685,21,10,1,1,999
386,0,28,28,22.4853,5,5,0.903226,1,1.91575
387,0,6.5,6.5,10.2426,5,5,1,1,1.66663
388,0,128.5,128.5,87.1543,5,5,0.634568,0,1.2942
389,1,2,2,5.65685,8,20,1,1,999
390,0,100.5,100.5,48.8701,5,5,0.885463,1,2.85464
391,0,153,153,54.6274,5,5,0.894737,0,1.9352
392,0,13,13,16.4853,5,5,0.8125,1,1.41206
393,0,112,112,44.6274,5,5,0.92562,1,1.69332
394,1,2,2,5.65685,5,6,1,1,999
395,0,57.5,57.5,75.8406,5,5,0.416667,1,1.53898
396,0,516.5,516.5,214.35,5,5,0.581317,1,1.61126
397,1,2,2,5.65685,14,33,1,1,999
398,2,2,2,5.65685,16,30,1,1,999
399,3,4,4,7.65685,14,29,1,0,1.41421
400,4,2,2,5.65685,16,28,1,1,999
401,5,2,2,5.65685,14,27,1,1,999
402,6,2,2,5.65685,8,27,1,1,999
403,7,2,2,5.65685,32,26,1,1,999
404,8,6,6,9.65685,38,24,1,1,1.73205
405,9,2,2,5.65685,37,22,1,1,999
406,10,2,2,5.65685,42,21,1,1,999
407,11,4,4,7.65685,38,20,1,1,1.41421
408,12,2,2,5.65685,26,18,1,1,999
409,13,2,2,5.65685,24,18,1,1,999
410,14,2,2,5.65685,22,18,1,1,999
411,15,2,2,5.65685,14,17,1,1,999
412,16,2,2,5.65685,12,17,1,1,999
413,17,2,2,5.65685,22,14,1,1,999
414,18,124.5,124.5,46.0416,29,11,0.950382,0,1.42402
415,19,2,2,5.65685,36,8,1,1,999
416,0,242,242,81.2548,5,5,0.853616,2,2.45661
417,1,2,2,5.65685,8,11,1,1,999
418,2,2,2,5.65685,14,9,1,1,999
419,3,2,2,5.65685,8,8,1,1,999
420,0,302.5,302.5,92.5269,5,5,0.859375,0,3.30211
421,0,104,104,63.2548,5,5,0.737589,1,2.60356
422,1,2,2,5.65685,21,14,1,1,999
423,2,2,2,5.65685,22,12,1,1,999
424,0,266.5,266.5,134.125,5,5,0.67044,2,3.96199
425,1,2,2,5.65685,41,18,1,1,999
426,2,2,2,5.65685,21,14,1,1,999
427,0,72,72,47.1127,5,5,0.70936,0,2.38999
428,0,63.5,63.5,41.2132,5,5,0.779141,1,1.90461
429,1,2,2,5.65685,8,11,1,1,999
430,0,227.5,227.5,182.066,5,5,0.390223,0,2.8274
431,1,2,2,5.65685,9,41,1,1,999
432,2,4,4,7.65685,13,40,1,0,1.41421
433,3,2,2,5.65685,17,38,1,1,999
434,4,2,2,5.65685,21,24,1,1,999
435,5,2,2,5.65685,20,23,1,1,999
436,6,2,2,5.65685,19,19,1,1,999
437,7,2,2,5.65685,31,18,1,1,999
438,8,2,2,5.65685,28,17,1,1,999
439,9,13,13,14.4853,20,17,0.928571,0,1.5033
440,10,2,2,5.65685,28,15,1,1,999
441,0,103.5,103.5,43.2132,5,5,0.90393,1,1.94457
442,0,35.5,35.5,28.7279,5,5,0.788889,1,1.08434
443,0,456.5,456.5,180.894,5,5,0.561501,0,1.76687
444,1,2,2,5.65685,9,25,1,1,999
445,2,2,2,5.65685,23,13,1,1,999
446,3,2,2,5.65685,18,9,1,1,999
447,4,2,2,5.65685,18,7,1,1,999
448,0,52.5,52.5,33.5563,5,5,0.84,1,1.62956
449,0,248,248,104.711,5,5,0.756098,1,1.06528
450,1,2,2,5.65685,17,9,1,1,999
451,2,2,2,5.65685,10,9,1,1,999
452,3,2,2,5.65685,19,8,1,1,999
453,4,2,2,5.65685,18,7,1,1,999
454,5,2,2,5.65685,5,7,1,1,999
455,6,2,2,5.65685,16,6,1,1,999
456,7,2,2,5.65685,17,5,1,1,999
457,0,346,346,96.0833,5,5,0.837772,1,1.60638
458,1,2,2,5.65685,9,22,1,1,999
459,2,2,2,5.65685,28,21,1,1,999
460,3,2,2,5.65685,15,20,1,1,999
461,4,2,2,5.65685,10,17,1,1,999
462,5,2,2,5.65685,6,17,1,1,999
463,0,51,51,30.1421,5,5,0.886957,1,1.54599
464,0,5.5,5.5,13.8995,5,5,0.611111,0,1.83332
465,0,107,107,75.2548,5,5,0.575269,1,1.2266
466,0,82.5,82.5,37.2132,5,5,0.942857,1,1.60162
467,0,102,102,44.2843,5,5,0.918919,0,1.93258
468,1,2,2,5.65685,10,9,1,1,999
469,0,333,333,99.7401,5,5,0.82939,1,1.21793
470,1,2,2,5.65685,20,20,1,1,999
471,2,2,2,5.65685,21,19,1,1,999
472,3,2,2,5.65685,19,19,1,1,999
473,4,2,2,5.65685,25,15,1,1,999
474,5,2,2,5.65685,19,15,1,1,999
475,6,13,13,14.4853,16,11,1,1,1.73205
476,7,2,2,5.65685,18,9,1,1,999
477,0,21.5,21.5,19.0711,5,5,0.934783,1,1.23596
478,0,104.5,104.5,46.8701,5,5,0.853061,0,1.5058
479,0,242,242,91.7401,5,5,0.731118,0,2.96064
480,0,58,58,34.9706,5,5,0.878788,0,1.79146
481,0,11,11,22.1421,5,5,0.628571,2,2.48968
482,1,2,2,5.65685,9,5,1,1,999
483,0,7.5,7.5,12.2426,5,5,0.882353,1,2.57281
484,0,32.5,32.5,29.5563,5,5,0.822785,1,2.96436
485,0,6.5,6.5,11.0711,5,5,0.866667,1,1.21673
486,0,146.5,146.5,58.5269,5,5,0.851744,1,1.14971
487,1,2,2,5.65685,6,10,1,1,999
488,0,111,111,44.9706,5,5,0.925,1,1.52149
489,0,19.5,19.5,26.7279,5,5,0.764706,0,3.38368
490,0,88,88,60.7696,5,5,0.666667,1,2.33589
491,0,26,26,22.1421,5,5,0.881356,1,1.98967
492,0,1,1,4.82843,5,5,1,0,999
493,0,3,3,6.82843,5,5,1,1,1.41421
494,0,6,6,9.65685,5,5,1,1,1.46956
495,0,6.5,6.5,10.2426,5,5,0.928571,1,1.43008
496,0,16,16,19.6569,5,5,0.888889,2,2.32271
497,0,33.5,33.5,29.5563,5,5,0.8375,1,3.10444
498,0,9.5,9.5,12.2426,5,5,1,1,1.62727
499,0,28,28,27.799,5,5,0.717949,0,1.69962
500,0,54.5,54.5,30.7279,5,5,0.908333,1,1.22308
501,0,52,52,39.799,5,5,0.776119,0,2.79057
502,0,4,4,8.82843,5,5,0.888889,1,1.1431
503,0,38.5,38.5,43.6985,5,5,0.647059,0,3.08058
504,0,0,0,4,5,5,-nan,0,999
505,0,3,3,6.82843,5,5,1,1,1.73205
506,0,63.5,63.5,46.0416,5,5,0.705556,1,1.22908
507,1,2,2,5.65685,11,14,1,1,999
508,0,70.5,70.5,54.8701,5,5,0.585062,0,1.13806
509,0,2,2,6.82843,5,5,1,1,999
510,0,96.5,96.5,75.3553,5,5,0.630719,1,2.7752
511,1,14.5,14.5,17.5563,13,8,0.90625,1,2.52509
512,0,11,11,23.3137,5,5,0.628571,2,3.49493
513,0,25,25,22.1421,5,5,0.862069,1,1.39798
514,0,3.5,3.5,7.41421,5,5,1,1,1.29099
515,0,2,2,6,5,5,1,1,999
516,0,83,83,52.2843,5,5,0.68595,0,2.00633
517,0,4,4,8.82843,5,5,0.888889,1,1.7529
518,0,12.5,12.5,15.0711,5,5,0.892857,1,1.66923
519,0,173,173,67.1127,5,5,0.797235,1,1.10287
520,0,6,6,11.6569,5,5,0.8,1,1.36865
521,0,25.5,25.5,21.8995,5,5,0.910714,1,1.74569
522,0,35.5,35.5,32.7279,5,22,0.68932,0,2.03969
523,1,77.5,77.5,42.8701,5,5,0.782828,0,1.42992
524,0,609,609,135.539,5,5,0.818548,0,2.14218
525,1,2,2,5.65685,11,31,1,1,999
526,2,2,2,5.65685,23,7,1,1,999
527,0,2,2,6,5,5,1,1,999
528,0,6.5,6.5,15.0711,5,5,0.619048,0,2.0815
529,0,5.5,5.5,11.0711,5,5,1,1,2.52282
530,0,107.5,107.5,51.6985,5,5,0.839844,1,2.28242
531,0,782.5,782.5,217.38,5,5,0.718879,0,3.00484
532,1,4,4,7.65685,14,30,1,0,1.41421
533,0,788,788,122.083,5,5,0.909406,1,1.5016
534,0,2.5,2.5,7.41421,5,5,1,2,999
535,0,9.5,9.5,13.0711,5,5,0.95,1,1.64874
536,0,22,22,19.3137,5,5,0.916667,1,1.10396
537,0,166,166,63.9411,5,5,0.862338,1,2.39675
538,0,86,86,44.6274,5,5,0.781818,1,1.11315
539,0,26.5,26.5,22.7279,5,5,0.868852,1,1.83194
540,0,29.5,29.5,21.0711,5,5,0.967213,1,1.43516
541,0,190,190,91.7401,5,5,0.671378,0,1.16408
542,1,4,4,7.65685,8,18,1,0,1.41421
543,0,5.5,5.5,10.2426,5,5,0.846154,1,1.3024
544,0,0.5,0.5,5.41421,5,5,0.5,1,999
545,0,4,4,8.82843,5,5,0.888889,1,1.7529
546,0,248,248,73.598,5,5,0.835017,0,1.39531
547,0,153,153,91.7401,5,5,0.56044,1,2.45867
548,0,14.5,14.5,21.0711,5,5,0.805556,2,1.87091
549,0,477,477,245.48,5,5,0.308638,1,2.0675
550,0,565.5,565.5,139.012,5,5,0.893365,0,4.90393
551,0,27,27,28.4853,5,5,0.675,0,1.26242
552,0,14,14,14.8284,5,5,1,1,1.1547
553,0,4,4,18.8284,5,5,0.666667,5,inf
554,0,40,40,51.1127,5,5,0.473373,0,1.81718
555,1,2,2,5.65685,8,10,1,1,999
556,0,37,37,23.3137,5,5,0.961039,1,1.1843
557,0,38.5,38.5,25.5563,5,5,0.950617,0,1.83824
558,0,10.5,10.5,13.0711,5,5,0.913043,1,1.12569
559,0,5,5,10.8284,5,5,0.833333,1,2.10879
560,0,8,8,11.6569,5,5,0.941176,1,1.6297
561,0,5.5,5.5,9.41421,5,5,1,1,1.33746
562,0,3.5,3.5,11.0711,5,5,0.7,0,2.99633
563,0,1.5,1.5,5.41421,5,5,1,1,999
564,0,3.5,3.5,8.24264,5,5,0.875,0,1.76983
565,0,5,5,8.82843,5,5,1,1,1.73205
566,0,15,15,17.6569,5,5,0.909091,1,1.70057
567,1,2,2,5.65685,7,6,1,1,999
568,0,4.5,4.5,10.2426,5,5,0.9,1,2.80622
569,0,10.5,10.5,19.8995,5,5,0.677419,0,1.46379
570,0,7.5,7.5,12.2426,5,5,0.833333,1,1.28051
571,0,31,31,34.1421,5,5,0.729412,1,3.95518
572,0,5.5,5.5,10.2426,5,5,0.916667,1,2.06122
573,0,13.5,13.5,15.0711,5,5,0.931034,1,1.66214
574,0,8.5,8.5,13.0711,5,5,0.85,1,1.72843
575,0,16,16,18.4853,5,5,0.820513,1,1.65515
576,0,2.5,2.5,6.24264,5,5,1,1,1.73205
577,0,33.5,33.5,27.5563,5,5,0.82716,0,1.14086
578,0,12,12,13.6569,5,5,0.96,1,1.52072
579,0,20,20,18.4853,5,5,0.930233,1,1.6268
580,0,43.5,43.5,26.7279,5,5,0.935484,1,1.68934
581,0,15,15,15.6569,5,5,0.9375,1,1.5644
582,0,30,30,22.4853,5,5,0.923077,1,1.60197
583,0,23,23,30.1421,5,5,0.657143,1,1.45453
584,0,23.5,23.5,26.7279,5,5,0.652778,1,1.24143
585,0,14,14,17.6569,5,5,0.875,2,2.50461
586,0,37,37,30.9706,5,5,0.755102,0,1.73394
587,0,9,9,12.8284,5,5,1,2,1.76759
588,0,33,33,36.1421,5,5,0.640777,1,1.67264
589,0,33.5,33.5,23.8995,5,5,0.917808,1,1.5797
590,0,28.5,28.5,23.5563,5,5,0.904762,0,1.46502
591,0,14,14,19.3137,5,5,0.777778,1,1.48534
592,0,8,8,12.8284,5,5,0.941176,2,2.11276
593,0,46.5,46.5,27.5563,5,5,0.93,1,1.4132
594,0,15.5,15.5,15.0711,5,5,0.96875,1,1.19703
595,0,4,4,8.82843,5,5,0.888889,1,2.17352
596,0,5,5,10.8284,5,5,0.833333,1,1
597,0,17.5,17.5,17.8995,5,5,0.875,1,1.62548
598,0,14.5,14.5,15.0711,5,5,0.935484,1,1.31222
599,0,58.5,58.5,42.3848,5,5,0.713415,1,1.18655
600,0,0,0,0,5,19,-nan,1,999
601,1,471,471,115.054,7,5,0.866605,1,1.13873
602,2,2,2,5.65685,12,21,1,1,999
603,3,2,2,5.65685,7,13,1,1,999
604,4,2,2,5.65685,23,9,1,1,999
605,5,2,2,5.65685,22,8,1,1,999
606,0,23.5,23.5,19.0711,5,5,0.94,0,1.13856
607,0,18,18,18.1421,5,5,0.923077,1,1.94966
608,0,26,26,29.799,5,5,0.684211,0,2.07671
609,0,181,181,56.2843,5,5,0.916456,0,1.23996
610,1,2,2,5.65685,18,15,1,1,999
611,0,28,28,26.9706,5,5,0.777778,1,1.2782
612,0,131.5,131.5,54.0416,5,5,0.853896,1,1.97744
613,0,221,221,97.7401,5,5,0.656761,1,1.63561
614,0,184,184,89.2548,5,5,0.724409,1,1.74267
615,1,2,2,5.65685,6,11,1,1,999
616,2,2,2,5.65685,22,7,1,1,999
617,0,42,42,32.9706,5,5,0.763636,1,1.19998
618,1,2,2,5.65685,10,6,1,1,999
619,0,31,31,28.1421,5,5,0.815789,2,2.10979
620,0,147.5,147.5,66.1838,5,5,0.78877,0,1.69302
621,0,771.5,771.5,169.782,5,5,0.731973,0,1.165
622,1,2,2,5.65685,38,11,1,1,999
623,0,109,109,50.2843,5,5,0.825758,0,1.97136
624,1,2,2,5.65685,11,10,1,1,999
625,0,92,92,63.598,5,5,0.652482,1,1.48595
626,1,2,2,5.65685,9,13,1,1,999
627,2,2,2,5.65685,11,11,1,1,999
628,3,4,4,7.65685,10,7,1,1,1.41421
629,4,2,2,5.65685,12,6,1,1,999
630,0,75,75,46.2843,5,5,0.746269,0,1.32832
631,1,2,2,5.65685,8,11,1,1,999
632,0,3,3,14.4853,5,5,0.428571,1,4.14586
633,0,44.5,44.5,29.5563,5,5,0.855769,0,1.33748
634,0,43.5,43.5,29.5563,5,5,0.896907,0,1.78037
635,0,20.5,20.5,20.7279,5,5,0.82,1,1.10371
636,0,141,141,48.2843,5,5,0.94,1,1.50236
637,1,2,2,5.65685,16,16,1,1,999
638,0,48.5,48.5,33.5563,5,5,0.858407,1,1.78188
639,1,2,2,5.65685,10,7,1,1,999
640,2,2,2,5.65685,12,6,1,1,999
641,0,54.5,54.5,33.5563,5,5,0.865079,1,1.40548
642,1,2,2,5.65685,10,7,1,1,999
643,0,171,171,58.7696,5,5,0.888312,1,1.59788
644,0,26.5,26.5,21.8995,5,5,0.883333,1,1.47377
645,0,37.5,37.5,26.7279,5,5,0.925926,1,1.85781
646,0,67.5,67.5,48.8701,5,5,0.737705,0,1.79548
647,1,2,2,5.65685,6,15,1,1,999
648,2,2,2,5.65685,8,13,1,1,999
649,0,23,23,19.6569,5,5,0.92,0,1.32534
650,0,80.5,80.5,54.8701,5,5,0.777778,1,2.70047
651,1,2,2,5.65685,20,9,1,1,999
652,2,2,2,5.65685,12,8,1,1,999
653,3,2,2,5.65685,16,7,1,1,999
654,0,74.5,74.5,40.0416,5,5,0.861272,1,1.17891
655,0,122.5,122.5,85.4975,5,5,0.688202,1,2.12837
656,1,2,2,5.65685,20,17,1,1,999
657,2,9,9,12.4853,18,13,0.947368,0,1.76595
658,3,11.5,11.5,15.0711,21,12,0.884615,0,1.77131
659,4,2,2,5.65685,23,10,1,1,999
660,5,2,2,5.65685,17,7,1,1,999
661,6,2,2,5.65685,13,6,1,1,999
662,7,2,2,5.65685,7,5,1,1,999
663,0,5.5,5.5,10.2426,5,5,0.846154,1,1.28469
664,0,804,804,193.137,5,5,0.816658,1,1.55542
665,1,2,2,5.65685,47,32,1,1,999
666,2,2,2,5.65685,28,32,1,1,999
667,3,2,2,5.65685,29,31,1,1,999
668,4,4,4,7.65685,17,28,1,1,1.41421
669,5,2,2,5.65685,12,27,1,1,999
670,6,2,2,5.65685,10,27,1,1,999
671,7,5.5,5.5,9.07107,15,26,1,1,1
672,8,12,12,15.3137,41,24,0.888889,0,2.63192
673,9,2,2,5.65685,28,16,1,1,999
674,10,2,2,5.65685,18,12,1,1,999
675,11,2,2,5.65685,16,10,1,1,999
676,12,2,2,5.65685,22,7,1,1,999
677,13,2,2,5.65685,21,6,1,1,999
678,0,3,3,9.65685,5,5,0.6,1,1.78627
679,0,55,55,52.6274,5,5,0.597826,0,1.82236
680,1,2,2,5.65685,6,7,1,1,999
681,0,97.5,97.5,37.5563,5,5,0.979899,1,1.35756
682,0,6.5,6.5,14.2426,5,5,0.65,0,2.02774
683,0,7.5,7.5,12.2426,5,5,0.882353,1,2.64291
684,0,51,51,37.799,5,5,0.766917,1,1.38206
685,0,39,39,24.4853,5,5,0.95122,1,1.57244
686,0,84,84,49.1127,5,5,0.740088,1,1.93398
687,0,162,162,69.9411,5,5,0.753488,1,1.18061
688,0,3,3,9.65685,5,5,0.857143,1,3.36859
689,0,309,309,88.0833,5,5,0.859527,0,1.6874
690,0,69.5,69.5,33.2132,5,5,0.939189,1,1.2078
691,0,6,6,14.4853,5,5,0.666667,0,2.29808
692,0,2,2,12.4853,5,9,0.333333,1,1.8776
693,1,0,0,0,5,8,-nan,1,999
694,2,0,0,2,6,5,-nan,2,999
695,0,120,120,76.0833,5,5,0.687679,2,3.13193
696,1,2,2,5.65685,15,9,1,1,999
697,2,2,2,5.65685,7,8,1,1,999
698,3,2,2,5.65685,17,5,1,1,999
699,4,2,2,5.65685,15,5,1,1,999
700,0,152,152,61.1127,5,5,0.802111,1,1.31623
701,1,2,2,5.65685,9,12,1,1,999
702,2,2,2,5.65685,9,8,1,1,999
703,0,29.5,29.5,23.0711,5,5,0.921875,1,1.94639
704,0,89,89,82.9117,5,5,0.526627,1,1.49621
705,1,2,2,5.65685,13,18,1,1,999
706,2,2,2,5.65685,14,16,1,1,999
707,3,2,2,5.65685,9,14,1,1,999
708,4,2,2,5.65685,6,11,1,1,999
709,5,2,2,5.65685,6,7,1,1,999
710,0,37.5,37.5,29.5563,5,5,0.806452,1,1.34054
711,1,2,2,5.65685,7,6,1,1,999
712,0,43.5,43.5,41.2132,5,5,0.731092,1,2.18513
713,0,168.5,168.5,65.0122,5,5,0.838308,0,1.14222
714,1,4,4,7.65685,12,20,1,0,1.41421
715,0,43,43,28.4853,5,5,0.895833,1,1.66791
716,0,17,17,19.3137,5,5,0.790698,1,1.33096
717,0,1.5,1.5,8.24264,5,5,0.5,1,1.14041
718,0,16.5,16.5,17.0711,5,5,0.891892,0,1.18181
719,0,10,10,12.8284,5,5,0.952381,0,1.36867
720,0,35.5,35.5,23.8995,5,5,0.934211,1,1.44955
721,0,67.5,67.5,35.5563,5,5,0.865385,1,1.36108
722,0,31,31,22.4853,5,5,0.925373,0,1.20487
723,0,23,23,26.1421,5,5,0.71875,1,1.27512
724,0,49.5,49.5,32.7279,5,5,0.891892,0,2.1461
725,0,5,5,12.8284,5,5,1,3,999
726,0,4,4,9.65685,5,5,0.888889,1,2.58268
727,0,148.5,148.5,66.5269,5,5,0.822715,1,1.70191
728,1,4,4,7.65685,11,13,1,1,1.41421
729,2,4,4,7.65685,11,9,1,1,1.41421
730,3,4,4,7.65685,21,7,1,1,1.41421
731,4,2,2,5.65685,12,7,1,1,999
732,5,2,2,5.65685,20,5,1,1,999
733,0,13,13,16.4853,5,5,0.8125,1,1.47145
734,0,8,8,21.6569,5,5,0.64,3,2.83658
735,0,646.5,646.5,120.953,5,5,0.901674,1,2.01288
736,0,40,40,33.799,5,5,0.740741,0,1.27268
737,0,9.5,9.5,12.2426,5,5,1,1,1.62727
738,0,102,102,51.9411,5,5,0.825911,1,1.83156
739,1,2,2,5.65685,12,13,1,1,999
740,2,2,2,5.65685,14,9,1,1,999
741,3,2,2,5.65685,12,9,1,1,999
742,4,4,4,7.65685,19,8,1,0,1.41421
743,5,2,2,5.65685,18,7,1,1,999
744,6,2,2,5.65685,12,5,1,1,999
745,0,11.5,11.5,13.8995,5,5,1,1,1.90111
746,0,3.5,3.5,9.41421,5,5,1,2,999
747,0,42.5,42.5,40.0416,5,5,0.720339,1,1.33795
748,0,15.5,15.5,16.2426,5,5,0.96875,1,1.40998
749,0,223,223,114.711,5,5,0.642651,0,2.76952
750,1,2,2,5.65685,11,28,1,1,999
751,2,2,2,5.65685,11,24,1,1,999
752,3,2,2,5.65685,13,20,1,1,999
753,4,2,2,5.65685,11,20,1,1,999
754,5,2,2,5.65685,7,19,1,1,999
755,6,2,2,5.65685,10,17,1,1,999
756,7,2,2,5.65685,7,17,1,1,999
757,8,2,2,5.65685,22,11,1,1,999
758,9,2,2,5.65685,23,8,1,1,999
759,10,2,2,5.65685,20,7,1,1,999
760,0,12,12,16.4853,5,5,0.8,0,1.24224
761,0,16,16,21.3137,5,5,0.744186,1,1.61026
762,0,80,80,46.2843,5,5,0.780488,0,1.44822
763,0,10.5,10.5,15.0711,5,5,0.84,1,1.41474
764,0,22.5,22.5,19.8995,5,5,0.9375,1,1.98795
765,0,15,15,20.1421,5,5,0.789474,1,1.59011
766,1,2,2,5.65685,8,6,1,1,999
767,0,71.5,71.5,47.6985,5,5,0.794444,0,1.37095
768,1,2,2,5.65685,7,15,1,1,999
769,2,4,4,7.65685,6,11,1,1,1.41421
770,0,44,44,32.6274,5,5,0.838095,1,1.43076
771,0,164,164,55.4558,5,5,0.911111,0,1.91298
772,0,135,135,50.6274,5,5,0.915254,1,1.82304
773,0,48,48,31.4558,5,5,0.834783,1,1.33139
774,0,106,106,60.7696,5,5,0.765343,0,2.28761
775,1,2,2,5.65685,15,17,1,1,999
776,0,16.5,16.5,19.0711,5,5,0.868421,1,2.69495
777,0,28.5,28.5,21.0711,5,5,0.95,1,1.15631
778,0,50,50,50.2843,5,5,0.588235,1,1.93421
779,1,2,2,5.65685,11,11,1,1,999
780,0,7,7,11.6569,5,5,0.875,1,1.37598
781,0,194,194,66.4264,5,5,0.845316,1,1.44091
782,1,4,4,7.65685,13,13,1,0,1.41421
783,2,10,10,13.3137,21,12,0.909091,0,1.30413
784,3,2,2,5.65685,20,12,1,1,999
785,4,2,2,5.65685,18,11,1,1,999
786,5,2,2,5.65685,15,10,1,1,999
787,0,30.5,30.5,33.2132,5,5,0.677778,0,1.64193
788,1,5.5,5.5,9.07107,8,9,1,1,1
789,0,145.5,145.5,67.3553,5,5,0.751938,0,1.81483
790,1,2,2,5.65685,15,8,1,1,999
791,2,7,7,10.4853,13,8,1,0,1.29099
792,0,250.5,250.5,66.5269,5,5,0.920956,1,1.14707
793,1,2,2,5.65685,12,14,1,1,999
794,0,6,6,22.4853,5,5,0.375,1,1.24804
795,0,8,8,10.8284,5,5,1,1,1.22474
796,0,144.5,144.5,104.811,5,5,0.534196,1,1.28246
797,1,2,2,5.65685,9,20,1,1,999
798,2,2,2,5.65685,10,17,1,1,999
799,3,2,2,5.65685,21,13,1,1,999
800,0,34,34,28.1421,5,5,0.809524,1,1.46998
801,0,309,309,113.255,5,5,0.821809,2,2.31014
802,0,18,18,17.3137,5,5,0.923077,1,1.58994
803,0,56,56,30.1421,5,5,0.941176,1,1.61019
804,0,1,1,7.65685,5,5,0.5,1,999
805,0,17,17,15.6569,5,5,0.971429,1,1.10421
806,0,35,35,23.3137,5,5,0.921053,1,1.06678
807,0,6,6,9.65685,5,5,0.923077,1,1.12926
808,0,34.5,34.5,21.8995,5,5,1,1,1.28488
