particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
1289,1,2,2,5.65685,74,82,1,1,999
1290,2,2,2,5.65685,72,82,1,1,999
1291,3,2,2,5.65685,73,81,1,1,999
1292,4,2,2,5.65685,70,78,1,1,999
1293,5,2,2,5.65685,69,77,1,1,999
1294,6,2,2,5.65685,71,76,1,1,999
1295,7,2,2,5.65685,59,65,1,1,999
1296,8,4,4,7.65685,13,58,1,1,1.41421
1297,9,2,2,5.65685,63,57,1,1,999
1298,10,5.5,5.5,9.07107,58,57,1,1,1
1299,11,12,12,14.4853,87,56,0.923077,1,1.55279
1300,12,2,2,5.65685,65,56,1,1,999
1301,13,2,2,5.65685,64,55,1,1,999
1302,14,2,2,5.65685,80,54,1,1,999
1303,15,2,2,5.65685,61,54,1,1,999
1304,16,2,2,5.65685,19,54,1,1,999
1305,17,2,2,5.65685,63,53,1,1,999
1306,18,2,2,5.65685,65,52,1,1,999
1307,19,2,2,5.65685,64,51,1,1,999
1308,20,2,2,5.65685,60,51,1,1,999
1309,21,4,4,7.65685,31,50,1,1,1.41421
1310,22,4,4,7.65685,13,50,1,1,1.41421
1311,23,2,2,5.65685,64,49,1,1,999
1312,24,2,2,5.65685,62,49,1,1,999
1313,25,4,4,7.65685,16,49,1,0,1.41421
1314,26,4,4,7.65685,35,47,1,1,1.41421
1315,27,4,4,7.65685,13,46,1,1,1.41421
1316,28,2,2,5.65685,50,44,1,1,999
1317,29,2,2,5.65685,30,44,1,1,999
1318,30,2,2,5.65685,39,43,1,1,999
1319,31,2,2,5.65685,16,43,1,1,999
1320,32,2,2,5.65685,38,42,1,1,999
1321,33,2,2,5.65685,80,38,1,1,999
1322,34,182,182,82.0833,64,38,0.750515,1,1.49966
1323,35,2,2,5.65685,69,36,1,1,999
1324,36,2,2,5.65685,40,36,1,1,999
1325,37,59.5,59.5,39.2132,39,35,0.838028,1,1.9777
1326,38,2,2,5.65685,69,34,1,1,999
1327,39,2,2,5.65685,47,34,1,1,999
1328,40,2,2,5.65685,45,34,1,1,999
1329,41,4,4,7.65685,39,34,1,0,1.41421
1330,42,2,2,5.65685,68,32,1,1,999
1331,43,2,2,5.65685,42,30,1,1,999
1332,44,2,2,5.65685,38,30,1,1,999
1333,45,2,2,5.65685,39,29,1,1,999
1334,46,2,2,5.65685,44,28,1,1,999
1335,47,2,2,5.65685,41,27,1,1,999
1336,48,2,2,5.65685,69,26,1,1,999
1337,49,2,2,5.65685,58,24,1,1,999
1338,50,2,2,5.65685,39,21,1,1,999
1339,51,2,2,5.65685,37,21,1,1,999
1340,52,2,2,5.65685,42,19,1,1,999
1341,53,2,2,5.65685,47,17,1,1,999
1342,54,2,2,5.65685,32,17,1,1,999
1343,55,2,2,5.65685,50,16,1,1,999
1344,56,9.5,9.5,11.8995,42,7,1,1,1.29099
1345,0,22.5,22.5,17.8995,5,5,0.978261,1,1.24338
1346,0,1118,1118,224.108,5,5,0.757966,1,1.63689
1347,1,8.5,8.5,11.0711,12,22,1,0,1.2776
1348,2,2,2,5.65685,10,22,1,1,999
1349,3,5.5,5.5,9.07107,13,18,1,1,1
1350,0,81,81,44.6274,5,5,0.753488,1,1.23733
1351,0,206.5,206.5,64.5269,5,5,0.882479,1,1.74127
1352,1,2,2,5.65685,5,11,1,1,999
1353,0,1856,1856,256.25,5,5,0.790628,0,1.12714
1354,1,2,2,5.65685,22,26,1,1,999
1355,2,4,4,7.65685,52,25,1,0,1.41421
1356,3,2,2,5.65685,44,22,1,1,999
1357,4,2,2,5.65685,17,21,1,1,999
1358,0,223,223,61.1127,5,5,0.931106,0,1.39625
1359,0,146.5,146.5,60.0416,5,5,0.818436,1,1.59038
1360,1,2,2,5.65685,5,7,1,1,999
1361,0,199,199,67.598,5,5,0.825726,1,1.31182
1362,1,2,2,5.65685,8,14,1,1,999
1363,0,26,26,26.9706,5,5,0.742857,0,1.35357
1364,0,33.5,33.5,25.8995,5,5,0.87013,1,1.4027
1365,0,66,66,32.1421,5,5,0.94964,1,1.40031
1366,0,33.5,33.5,24.7279,5,5,0.943662,1,1.86201
1367,0,1021,1021,218.108,5,5,0.797656,1,3.06586
1368,1,2,2,5.65685,31,37,1,1,999
1369,2,5.5,5.5,9.07107,37,32,1,1,1
1370,3,2,2,5.65685,44,31,1,1,999
1371,4,5.5,5.5,9.07107,31,29,1,1,1
1372,5,6,6,9.65685,36,28,1,0,1.73205
1373,6,2,2,5.65685,30,28,1,1,999
1374,7,2,2,5.65685,37,27,1,1,999
1375,8,8.5,8.5,11.8995,33,27,0.944444,1,2.01498
1376,9,2,2,5.65685,26,27,1,1,999
1377,10,2,2,5.65685,36,26,1,1,999
1378,0,46.5,46.5,44.0416,5,5,0.664286,1,2.65155
